date,orders,status,value,service_name 
11/1/2016,0,No Driver Found,273000,Uber_CLEAN
11/1/2016,350,No Driver Found,7371000,Uber_FOOD
11/1/2016,10,No Driver Found,1911000,Uber_GLAM
11/1/2016,10,No Driver Found,109200,Uber_KILAT
11/1/2016,10,No Driver Found,72800,Uber_MART
11/1/2016,20,No Driver Found,3458000,Uber_MASSAGE
11/1/2016,10650,No Driver Found,224595280,Uber_RIDE
11/1/2016,370,No Driver Found,12499760,Uber_SEND
11/1/2016,60,No Driver Found,1359540,Uber_SHOP
11/1/2016,20,Other,573300,Uber_RIDE
11/1/2016,0,Other,,Uber_TIX
12/1/2016,320,Cancelled,152468225,Uber_BOX
12/1/2016,10,Cancelled,2038400,Uber_CLEAN
12/1/2016,37370,Cancelled,656264700,Uber_FOOD
12/1/2016,0,Cancelled,455000,Uber_GLAM
12/1/2016,10,Cancelled,109200,Uber_KILAT
12/1/2016,1430,Cancelled,20038200,Uber_MART
12/1/2016,50,Cancelled,8517600,Uber_MASSAGE
12/1/2016,59960,Cancelled,1353279200,Uber_RIDE
12/1/2016,5690,Cancelled,220753260,Uber_SEND
12/1/2016,12900,Cancelled,334568780,Uber_SHOP
12/1/2016,260,Cancelled,,Uber_TIX
12/1/2016,480,Completed,185987620,Uber_BOX
12/1/2016,100,Completed,16716700,Uber_CLEAN
12/1/2016,68350,Completed,1156673700,Uber_FOOD
12/1/2016,40,Completed,5469100,Uber_GLAM
12/1/2016,50,Completed,1146600,Uber_KILAT
12/1/2016,2130,Completed,29757000,Uber_MART
12/1/2016,310,Completed,60183760,Uber_MASSAGE
12/1/2016,348740,Completed,7184298940,Uber_RIDE
12/1/2016,32430,Completed,1182981800,Uber_SEND
12/1/2016,17390,Completed,426571600,Uber_SHOP
12/1/2016,20,Completed,139230,Uber_TIX
12/1/2016,40,Failed/Timeout,91000,Uber_TIX
12/1/2016,30,No Driver Found,20497750,Uber_BOX
12/1/2016,0,No Driver Found,118300,Uber_CLEAN
12/1/2016,30,No Driver Found,591500,Uber_FOOD
12/1/2016,0,No Driver Found,309400,Uber_GLAM
12/1/2016,0,No Driver Found,18200,Uber_MART
12/1/2016,10,No Driver Found,2766400,Uber_MASSAGE
12/1/2016,8750,No Driver Found,180382020,Uber_RIDE
12/1/2016,480,No Driver Found,16467360,Uber_SEND
12/1/2016,30,No Driver Found,977340,Uber_SHOP
12/1/2016,0,Other,18200,Uber_FOOD
12/1/2016,10,Other,1010100,Uber_MASSAGE
12/1/2016,10,Other,196560,Uber_RIDE
12/1/2016,0,Other,76440,Uber_SEND
12/1/2016,0,Other,32760,Uber_SHOP
13/1/2016,290,Cancelled,135244655,Uber_BOX
13/1/2016,20,Cancelled,3394300,Uber_CLEAN
13/1/2016,40270,Cancelled,705841500,Uber_FOOD
13/1/2016,10,Cancelled,1328600,Uber_GLAM
13/1/2016,0,Cancelled,27300,Uber_KILAT
13/1/2016,1670,Cancelled,23332400,Uber_MART
13/1/2016,60,Cancelled,11857300,Uber_MASSAGE
13/1/2016,69100,Cancelled,1533508340,Uber_RIDE
13/1/2016,5840,Cancelled,228683000,Uber_SEND
13/1/2016,13430,Cancelled,349068720,Uber_SHOP
13/1/2016,270,Cancelled,,Uber_TIX
13/1/2016,510,Completed,192837190,Uber_BOX
13/1/2016,90,Completed,15735720,Uber_CLEAN
13/1/2016,72150,Completed,1222557700,Uber_FOOD
13/1/2016,30,Completed,5432700,Uber_GLAM
13/1/2016,70,Completed,1419600,Uber_KILAT
13/1/2016,2460,Completed,34379800,Uber_MART
13/1/2016,290,Completed,54479880,Uber_MASSAGE
13/1/2016,354780,Completed,7310828980,Uber_RIDE
13/1/2016,33520,Completed,1226760080,Uber_SEND
13/1/2016,19160,Completed,467523420,Uber_SHOP
13/1/2016,20,Completed,10920,Uber_TIX
13/1/2016,20,Failed/Timeout,1365,Uber_TIX
13/1/2016,20,No Driver Found,15126475,Uber_BOX
13/1/2016,30,No Driver Found,573300,Uber_FOOD
13/1/2016,10,No Driver Found,1801800,Uber_GLAM
13/1/2016,0,No Driver Found,54600,Uber_KILAT
13/1/2016,10,No Driver Found,937300,Uber_MASSAGE
13/1/2016,23960,No Driver Found,478283260,Uber_RIDE
13/1/2016,720,No Driver Found,24722880,Uber_SEND
13/1/2016,20,No Driver Found,609700,Uber_SHOP
13/1/2016,0,Other,27300,Uber_FOOD
13/1/2016,10,Other,189280,Uber_RIDE
13/1/2016,0,Other,45500,Uber_SEND
13/1/2016,0,Other,60060,Uber_SHOP
14/1/2016,330,Cancelled,172153800,Uber_BOX
14/1/2016,10,Cancelled,2475200,Uber_CLEAN
14/1/2016,30500,Cancelled,529583600,Uber_FOOD
14/1/2016,10,Cancelled,855400,Uber_GLAM
14/1/2016,1380,Cancelled,19346600,Uber_MART
14/1/2016,60,Cancelled,10910900,Uber_MASSAGE
14/1/2016,74610,Cancelled,698434100,Uber_RIDE
14/1/2016,5350,Cancelled,212956380,Uber_SEND
14/1/2016,10650,Cancelled,277888520,Uber_SHOP
14/1/2016,230,Cancelled,,Uber_TIX
14/1/2016,530,Completed,203928270,Uber_BOX
14/1/2016,100,Completed,17948840,Uber_CLEAN
14/1/2016,73880,Completed,1235825500,Uber_FOOD
14/1/2016,60,Completed,9624160,Uber_GLAM
14/1/2016,60,Completed,1228500,Uber_KILAT
14/1/2016,2280,Completed,31850000,Uber_MART
14/1/2016,330,Completed,66308060,Uber_MASSAGE
14/1/2016,397700,Completed,4611011860,Uber_RIDE
14/1/2016,32130,Completed,1183930020,Uber_SEND
14/1/2016,17580,Completed,433241900,Uber_SHOP
14/1/2016,30,Completed,192920,Uber_TIX
14/1/2016,40,Failed/Timeout,145600,Uber_TIX
14/1/2016,20,No Driver Found,9843470,Uber_BOX
14/1/2016,30,No Driver Found,627900,Uber_FOOD
14/1/2016,20,No Driver Found,4659200,Uber_GLAM
14/1/2016,10,No Driver Found,2256800,Uber_MASSAGE
14/1/2016,27710,No Driver Found,9829820,Uber_RIDE
14/1/2016,660,No Driver Found,25414480,Uber_SEND
14/1/2016,20,No Driver Found,582400,Uber_SHOP
14/1/2016,20,Other,364000,Uber_FOOD
14/1/2016,0,Other,54600,Uber_MART
14/1/2016,50,Other,877240,Uber_RIDE
14/1/2016,0,Other,123760,Uber_SEND
14/1/2016,10,Other,318500,Uber_SHOP
15/1/2016,270,Cancelled,143052455,Uber_BOX
15/1/2016,30,Cancelled,4557280,Uber_CLEAN
15/1/2016,28400,Cancelled,493074400,Uber_FOOD
15/1/2016,10,Cancelled,1019200,Uber_GLAM
15/1/2016,1390,Cancelled,19492200,Uber_MART
15/1/2016,40,Cancelled,7926100,Uber_MASSAGE
15/1/2016,61900,Cancelled,1382522960,Uber_RIDE
15/1/2016,6130,Cancelled,241989020,Uber_SEND
15/1/2016,11340,Cancelled,291593120,Uber_SHOP
15/1/2016,260,Cancelled,,Uber_TIX
15/1/2016,650,Completed,255906560,Uber_BOX
15/1/2016,120,Completed,19180980,Uber_CLEAN
15/1/2016,70250,Completed,1173809000,Uber_FOOD
15/1/2016,70,Completed,11657100,Uber_GLAM
15/1/2016,50,Completed,1092000,Uber_KILAT
15/1/2016,2190,Completed,30667000,Uber_MART
15/1/2016,310,Completed,60767980,Uber_MASSAGE
15/1/2016,387680,Completed,7987521360,Uber_RIDE
15/1/2016,37170,Completed,1372189000,Uber_SEND
15/1/2016,17690,Completed,440538280,Uber_SHOP
15/1/2016,30,Completed,121485,Uber_TIX
15/1/2016,30,Failed/Timeout,19110,Uber_TIX
15/1/2016,50,No Driver Found,41656615,Uber_BOX
15/1/2016,0,No Driver Found,873600,Uber_CLEAN
